club_code,week,off_snaps_lost,def_snaps_lost
ARI,2,21.0,0.0
ARI,3,0.0,0.0
ARI,4,50.0,0.0
ARI,5,0.0,0.0
ARI,6,53.4,9.0
ARI,7,215.28333333333333,0.0
ARI,8,137.55,2.0
ARI,9,99.75,2.0
ARI,10,99.75,0.0
ARI,11,57.5,0.0
ARI,12,186.75,65.88888888888889
ARI,14,109.375,65.88888888888889
ARI,15,0.0,116.65811965811966
ARI,16,57.25,116.65811965811966
ARI,17,57.25,92.56923076923076
ARI,18,51.0,0.0
ATL,2,10.0,0.0
ATL,5,48.0,0.0
ATL,7,4.5,0.0
ATL,10,2.5,0.0
ATL,11,2.5,0.0
ATL,16,27.5,0.0
ATL,17,2.25,0.0
BAL,5,56.75,0.0
BAL,6,0.0,0.0
BAL,7,25.75,0.0
BAL,8,0.0,44.714285714285715
BAL,9,31.666666666666668,0.0
BAL,12,50.666666666666664,0.0
BAL,13,7.25,0.0
BAL,16,0.0,96.46153846153845
BAL,17,0.0,56.61538461538461
BUF,2,0.0,17.0
BUF,3,0.0,61.5
BUF,4,24.0,0.0
BUF,5,100.0,0.0
BUF,8,49.333333333333336,0.0
BUF,10,0.0,32.125
BUF,11,15.333333333333334,32.125
BUF,12,0.0,32.125
BUF,13,63.36363636363637,0.0
BUF,14,12.0,0.0
BUF,15,63.84615384615385,0.0
BUF,16,59.0,0.0
CAR,5,2.3333333333333335,0.0
CAR,6,0.0,0.0
CAR,8,7.571428571428571,0.0
CAR,9,7.571428571428571,0.0
CAR,17,0.0,62.46153846153846
CHI,3,21.0,0.0
CHI,4,27.333333333333332,67.5
CHI,8,59.57142857142857,0.0
CHI,10,0.0,48.333333333333336
CHI,11,33.666666666666664,0.0
CHI,12,0.0,53.166666666666664
CHI,13,76.5,53.166666666666664
CHI,15,60.02564102564103,0.0
CHI,16,50.404761904761905,48.27272727272727
CHI,18,61.13333333333333,30.454545454545453
CIN,3,19.5,0.0
CIN,4,19.5,0.0
CIN,7,0.0,1.4
CIN,8,66.85714285714286,0.0
CIN,9,66.85714285714286,107.375
CIN,11,66.85714285714286,0.0
CIN,12,45.8,0.0
CIN,14,41.416666666666664,0.0
CIN,15,41.58333333333333,95.90384615384616
CIN,16,0.0,52.5
CLE,4,1.0,41.666666666666664
CLE,6,1.0,56.2
CLE,7,63.333333333333336,56.2
CLE,8,122.47619047619048,56.2
CLE,10,59.142857142857146,0.0
CLE,11,10.25,19.833333333333332
CLE,13,56.22222222222222,0.0
CLE,18,65.28571428571429,16.2
DAL,2,60.0,18.0
DAL,3,53.0,0.0
DAL,4,53.0,0.0
DAL,5,53.0,0.0
DAL,6,1.2,0.0
DAL,7,0.3333333333333333,0.0
DAL,14,0.0,60.75
DAL,15,29.076923076923077,0.0
DAL,16,0.0,17.846153846153847
DAL,18,66.625,0.0
DEN,2,18.0,0.0
DEN,3,0.0,0.0
DEN,4,37.5,0.0
DEN,5,18.0,0.0
DEN,7,0.0,8.4
DEN,8,74.94285714285714,8.4
DEN,11,44.111111111111114,46.77777777777778
DEN,12,44.111111111111114,46.77777777777778
DEN,14,59.25,0.0
DEN,15,162.82575757575756,0.0
DEN,16,38.90909090909091,0.0
DEN,17,81.05714285714286,0.0
DEN,18,69.77380952380952,0.0
DET,2,69.0,0.0
DET,3,69.0,0.0
DET,4,162.0,0.0
DET,5,59.083333333333336,0.0
DET,7,10.0,0.0
DET,8,10.0,38.0
DET,9,10.0,0.0
DET,10,54.0,0.0
DET,12,63.57142857142857,58.7
DET,14,0.0,0.3333333333333333
DET,16,13.0,0.0
GB,3,42.5,0.0
GB,6,24.5,0.0
GB,7,64.83333333333333,0.0
GB,8,57.166666666666664,0.5
GB,9,0.0,0.5
GB,10,45.77777777777778,53.5
GB,11,45.77777777777778,0.0
GB,12,45.77777777777778,0.0
GB,13,53.44444444444444,0.0
GB,15,53.44444444444444,0.0
HOU,2,70.0,0.0
HOU,3,32.5,1.0
HOU,4,32.5,0.0
HOU,5,67.0,0.0
HOU,9,53.69047619047619,38.166666666666664
HOU,13,49.3,0.0
HOU,14,93.5,31.0
HOU,15,92.07692307692308,64.15384615384616
HOU,16,44.2,0.0
HOU,17,7.125,0.0
HOU,18,38.125,0.0
IND,2,47.0,0.0
IND,3,15.5,0.0
IND,5,54.75,37.0
IND,6,0.0,44.2
IND,7,0.0,44.2
IND,8,71.57142857142857,44.2
IND,9,120.57142857142857,0.0
IND,10,33.44444444444444,0.0
IND,11,17.0,40.714285714285715
IND,13,68.0,64.41666666666667
IND,15,12.4,64.41666666666667
IND,16,31.384615384615383,64.41666666666667
IND,17,50.93006993006993,64.41666666666667
IND,18,59.05128205128205,0.0
JAX,5,0.0,25.25
JAX,7,9.166666666666666,67.2
JAX,8,0.0,27.166666666666668
JAX,16,65.28571428571429,32.666666666666664
KC,2,0.0,0.0
KC,3,0.0,36.0
KC,4,0.0,36.0
KC,5,0.0,0.0
KC,6,0.0,92.4
KC,7,0.0,62.6
KC,10,37.875,0.0
KC,11,49.44444444444444,2.111111111111111
KC,12,17.2,0.0
KC,13,17.2,0.0
KC,18,19.5625,0.0
LA,2,67.0,0.0
LA,3,0.0,44.0
LA,4,126.0,44.0
LA,5,67.0,0.0
LA,6,22.2,0.0
LA,10,11.0,0.0
LA,11,60.5,0.0
LA,12,60.5,35.9
LA,13,8.0,56.0
LA,14,0.0,31.22222222222222
LA,15,40.333333333333336,20.846153846153847
LA,16,102.85714285714286,0.0
LA,17,102.85714285714286,0.0
LA,18,102.85714285714286,0.0
LAC,2,22.0,0.0
LAC,4,22.0,0.0
LAC,5,22.0,0.0
LAC,7,91.83333333333334,0.0
LAC,9,86.64285714285714,27.142857142857142
LAC,10,86.64285714285714,0.0
LAC,12,56.875,0.0
LAC,13,180.01944444444445,0.0
LV,2,58.0,0.0
LV,3,47.0,0.0
LV,4,78.33333333333333,0.0
LV,7,41.0,0.0
LV,13,5.090909090909091,25.875
LV,14,5.090909090909091,93.9090909090909
LV,15,55.0,0.0
MIA,2,1.0,0.0
MIA,3,13.0,0.0
MIA,4,13.0,0.0
MIA,5,50.0,0.0
MIA,6,49.0,0.0
MIA,8,11.714285714285714,0.0
MIA,9,11.714285714285714,0.0
MIA,10,12.0,0.0
MIA,13,42.0,0.0
MIA,17,54.23076923076923,0.0
MIA,18,54.23076923076923,0.0
MIN,2,0.0,0.0
MIN,3,0.0,0.0
MIN,5,10.75,0.0
MIN,9,0.0,43.42857142857143
MIN,10,0.0,101.42857142857143
MIN,11,0.0,63.42857142857143
MIN,12,59.6,41.0
MIN,13,59.6,0.0
MIN,14,0.0,27.0
MIN,16,67.5,0.0
MIN,17,67.5,0.0
MIN,18,67.5,0.0
NE,4,67.0,26.333333333333332
NE,5,0.0,26.333333333333332
NE,8,60.42857142857143,34.333333333333336
NE,9,147.52857142857144,0.0
NE,13,19.22222222222222,0.0
NE,14,48.4,46.9
NE,15,40.75,46.9
NE,16,40.75,46.9
NE,17,72.56428571428572,30.0
NO,2,0.0,0.0
NO,3,0.0,0.0
NO,4,99.0,0.0
NO,5,45.333333333333336,54.66666666666667
NO,6,88.58333333333334,76.86666666666667
NO,7,172.28333333333333,60.2
NO,8,82.58333333333334,60.2
NO,9,20.375,60.2
NO,10,138.42261904761904,60.2
NO,11,82.475,108.0
NO,12,0.0,23.0
NO,13,42.166666666666664,55.625
NO,15,0.0,32.625
NO,16,77.5534188034188,0.0
NO,17,55.598484848484844,0.0
NO,18,52.18181818181818,62.46153846153846
NYG,2,0.0,62.0
NYG,3,9.0,62.0
NYG,4,26.5,43.5
NYG,5,63.25,0.0
NYG,6,42.25,0.0
NYG,7,42.25,0.0
NYG,8,161.96428571428572,0.0
NYG,10,96.71428571428572,0.0
NYG,11,40.714285714285715,0.0
NYG,12,191.5142857142857,101.95555555555555
NYG,13,68.0,55.4
NYG,14,68.0,55.4
NYG,15,68.0,55.4
NYG,16,39.0,55.4
NYG,18,0.0,50.333333333333336
NYJ,2,0.0,0.0
NYJ,3,0.0,0.0
NYJ,5,65.25,0.0
NYJ,7,57.166666666666664,0.0
NYJ,8,48.142857142857146,0.0
NYJ,9,48.142857142857146,0.0
NYJ,11,48.142857142857146,36.0
NYJ,12,0.0,36.0
NYJ,15,117.46666666666667,5.3076923076923075
NYJ,16,116.2348484848485,5.3076923076923075
NYJ,17,12.818181818181818,5.3076923076923075
NYJ,18,191.09848484848484,5.3076923076923075
PHI,4,12.0,60.333333333333336
PHI,5,0.0,60.333333333333336
PHI,9,0.0,39.14285714285714
PHI,10,0.0,55.0
PHI,11,0.0,0.0
PHI,16,75.0142857142857,0.0
PHI,17,64.93333333333334,0.0
PHI,18,64.93333333333334,0.0
PIT,4,0.0,72.66666666666667
PIT,5,0.0,72.66666666666667
PIT,6,46.6,204.26666666666668
PIT,7,4.5,0.0
PIT,8,0.0,88.83333333333334
PIT,10,0.0,62.0
PIT,11,0.0,62.0
PIT,12,20.4,62.0
PIT,13,0.0,62.0
SEA,5,4.0,0.0
SEA,6,2.0,0.0
SEA,7,0.0,0.0
SEA,9,29.571428571428573,0.0
SEA,16,51.5,0.0
SF,3,59.0,0.0
SF,4,119.66666666666666,0.0
SF,5,130.91666666666666,34.0
SF,6,60.666666666666664,96.2
SF,7,0.0,0.0
SF,8,87.28571428571428,0.0
SF,13,17.5,0.0
SF,14,55.81818181818182,23.666666666666668
SF,15,107.23484848484848,57.44551282051282
SF,16,107.23484848484848,27.153846153846153
SF,17,107.23484848484848,27.153846153846153
SF,18,116.50568181818181,29.887179487179488
TB,2,19.0,0.0
TB,3,19.0,29.5
TB,4,0.0,29.5
TB,5,40.0,29.5
TB,6,0.0,37.9
TB,7,63.8,37.9
TB,8,149.37142857142857,68.4
TB,9,149.37142857142857,0.0
TB,10,110.57142857142858,0.0
TB,12,110.57142857142858,0.0
TB,13,70.0909090909091,0.0
TB,15,0.0,62.53846153846154
TB,16,69.08333333333333,62.53846153846154
TB,18,69.76923076923077,62.30769230769231
TEN,2,12.0,60.0
TEN,3,32.0,0.0
TEN,5,31.0,0.0
TEN,7,66.65,0.0
TEN,8,8.4,0.0
TEN,9,8.4,0.0
TEN,10,0.0,55.25
TEN,11,56.55555555555556,0.0
TEN,12,0.0,44.7
TEN,13,15.545454545454545,85.7
TEN,14,30.0,121.24285714285715
TEN,15,46.66666666666667,121.24285714285715
TEN,16,171.0,96.58181818181818
TEN,17,114.63333333333333,57.07142857142857
TEN,18,0.0,0.0
WAS,3,0.0,40.0
WAS,4,48.5,0.0
WAS,5,63.0,0.0
WAS,6,116.55,0.0
WAS,7,133.88333333333333,0.0
WAS,8,100.33333333333334,0.0
WAS,9,90.625,0.0
WAS,10,27.625,0.0
WAS,11,42.325,0.0
WAS,12,7.2727272727272725,55.54545454545455
WAS,13,51.18939393939394,55.54545454545455
WAS,17,32.6,36.142857142857146
WAS,18,42.0,140.85119047619048
